entity_from_id,edge_strength,entity_to_id
E_0000017290,STRONG,E_0000341385
E_0000169624,STRONG,E_0000341168
E_0000169624,WEAK,E_0000341387
E_0000169624,WEAK,E_0000341384
E_0000169624,STRONG,E_0000341385
E_0000209427,WEAK,E_0000341433
E_0000209427,STRONG,E_0000341385
E_0000171373,STRONG,E_0000341375
E_0000171373,MEDIUM,E_0000341384
E_0000171373,MEDIUM,E_0000341387
E_0000171373,STRONG,E_0000341385
E_0000144881,STRONG,E_0000341186
E_0000144881,STRONG,E_0000341259
E_0000144881,STRONG,E_0000341471
E_0000035279,STRONG,E_0000341384
E_0000035279,MEDIUM,E_0000341385
E_0000035279,WEAK,E_0000341433
E_0000271342,MEDIUM,E_0000341348
E_0000271342,MEDIUM,E_0000341384
E_0000271342,STRONG,E_0000341385
E_0000061800,STRONG,E_0000341384
E_0000190866,WEAK,E_0000341417
E_0000190866,MEDIUM,E_0000341171
E_0000017541,STRONG,E_0000341185
E_0000017541,MEDIUM,E_0000341387
E_0000017541,MEDIUM,E_0000341384
E_0000017541,MEDIUM,E_0000341385
E_0000161802,MEDIUM,E_0000341384
E_0000161802,STRONG,E_0000341385
E_0000164894,STRONG,E_0000341121
E_0000164894,STRONG,E_0000341185
E_0000164894,WEAK,E_0000341387
E_0000164894,STRONG,E_0000341385
E_0000061474,STRONG,E_0000002454
E_0000061474,STRONG,E_0000139102
E_0000144881,MEDIUM,E_0000134095
E_0000165964,STRONG,E_0000341533
E_0000165964,STRONG,E_0000130141
E_0000165964,MEDIUM,E_0000341471
E_0000165964,STRONG,E_0000341171
E_0000165964,STRONG,E_0000202359
E_0000165964,STRONG,E_0000174333
E_0000017290,MEDIUM,E_0000341640
E_0000017290,STRONG,E_0000341639
E_0000209427,MEDIUM,E_0000234392
E_0000061800,STRONG,E_0000061800
E_0000061474,STRONG,E_0000256682
E_0000061474,WEAK,E_0000133868
E_0000061474,MEDIUM,E_0000002446
E_0000209427,STRONG,E_0000245048
E_0000271342,STRONG,E_0000245048
E_0000165964,STRONG,E_0000061488
E_0000017290,STRONG,E_0000074725
E_0000035279,STRONG,E_0000002413
E_0000035279,STRONG,E_0000002413
E_0000035279,WEAK,E_0000078325
E_0000209427,WEAK,E_0000184180
E_0000061800,MEDIUM,E_0000122651
E_0000144881,WEAK,E_0000119348
E_0000161802,MEDIUM,E_0000174104
E_0000035279,WEAK,E_0000015934
E_0000161802,STRONG,E_0000224612
E_0000017290,STRONG,E_0000133710
E_0000209427,MEDIUM,E_0000097125
E_0000209427,MEDIUM,E_0000097124
E_0000144881,STRONG,E_0000046954
E_0000061474,STRONG,E_0000037720
E_0000035279,MEDIUM,E_0000037720
E_0000209427,MEDIUM,E_0000184046
E_0000190866,WEAK,E_0000341418
E_0000164894,WEAK,E_0000002413
E_0000164894,STRONG,E_0000341384
E_0000035279,STRONG,E_0000341384
E_0000190866,STRONG,E_0000046445
E_0000165964,STRONG,E_0000046445
E_0000061474,MEDIUM,E_0000153529
E_0000144881,WEAK,E_0000153529
E_0000190866,WEAK,E_0000153529
E_0000165964,STRONG,E_0000202359
E_0000169624,MEDIUM,E_0000144619
E_0000190866,WEAK,E_0000144619
E_0000164894,STRONG,E_0000144619
E_0000165964,MEDIUM,E_0000087388
E_0000271342,MEDIUM,E_0000141452
E_0000271342,STRONG,E_0000130559
E_0000033648,WEAK,E_0000046151
E_0000033648,STRONG,E_0000341367
E_0000017290,STRONG,E_0000341367
E_0000169624,STRONG,E_0000341367
E_0000209427,MEDIUM,E_0000341367
E_0000171373,STRONG,E_0000341367
E_0000271342,STRONG,E_0000341367
E_0000017541,STRONG,E_0000341367
E_0000161802,STRONG,E_0000341367
E_0000164894,STRONG,E_0000341367
E_0000171373,MEDIUM,E_0000044919
E_0000209427,MEDIUM,E_0000340354
